year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
  1550000.00000        3.07401        3.36329        0.00119      617.20346       -6.99867      254.65618       11.17767        9.99281       21.17048       21.16404       10.00000       18.42096        8.42093
  1600000.00000        3.07450        3.36378        0.00099      617.41660       -6.99889      254.67062       11.17901        9.99401       21.17302       21.16766       10.00000       18.42245        8.42242
  1650000.00000        3.07491        3.36419        0.00083      617.59425       -6.99907      254.68266       11.18013        9.99500       21.17513       21.17066       10.00000       18.42370        8.42367
  1700000.00000        3.07525        3.36453        0.00070      617.74233       -6.99922      254.69268       11.18106        9.99584       21.17689       21.17317       10.00000       18.42473        8.42472
  1750000.00000        3.07554        3.36481        0.00058      617.86575       -6.99935      254.70104       11.18183        9.99653       21.17836       21.17526       10.00000       18.42560        8.42558
  1800000.00000        3.07577        3.36505        0.00049      617.96862       -6.99946      254.70801       11.18248        9.99711       21.17959       21.17700       10.00000       18.42632        8.42631
  1850000.00000        3.07597        3.36524        0.00041      618.05436       -6.99955      254.71381       11.18302        9.99759       21.18061       21.17845       10.00000       18.42692        8.42691
  1900000.00000        3.07613        3.36541        0.00034      618.12583       -6.99962      254.71865       11.18347        9.99799       21.18146       21.17966       10.00000       18.42742        8.42741
  1950000.00000        3.07627        3.36554        0.00028      618.18539       -6.99968      254.72268       11.18384        9.99833       21.18217       21.18067       10.00000       18.42784        8.42783


